Set,Model,Accuracy,Avg Sensitivity,Max Sensitivity,SensitivityN,Faithfulness Correlation,Sparseness,Complexity,Effective Complexity,MPRT,eMPRT
5,convnext,18.9,1.3140719984471798,1.315486600548029,0.2181258201599121,-0.0152611771001829,0.5265135061849109,11.96781566619873,222100.4025,2.954939432086638e-06,-8.659084891029437e-08
5,convnext,28.2,1.473273801803589,1.4748229132592678,0.1054834127426147,0.0041696731762203,0.5703830379420992,11.87468052148819,209783665,7.270646665444816e-06,1.315226677637389e-07
5,convnext,40.8,1.5032759309411048,1.5048320262134076,-0.1082233414053917,0.003752438386291,0.5748755769721597,11.863184196949003,208591805,-4.261004686928623e-06,-1.897148272984916e-08
5,convnext,49.7,1.5249875254631045,1.5265628571808338,0.1325265914201736,0.012990281012353,0.5784706092676262,11.849022133350372,207232.8125,3.994352308291536e-06,3.2577744557439834e-08
5,convnext,57.2,1.6479281916916368,1.649643289744854,0.1736864596605301,0.0026472039951477,0.5995451565480167,11.77433658838272,197735.21,8.726446879637847e-06,1.015702790926902e-08
5,convnext,61.0,1.512972193568945,1.5145729212462902,0.0695667639374733,0.0039424178635817,0.5539457953137196,11.860250360965727,210664.3575,-9.50608153983725e-07,-9.04092241923952e-08
5,convnext,65.0,1.4066591736376284,1.4081952995061875,-0.1413806974887848,-0.0065570217560161,0.5268717313310973,11.918717513084411,217245.3575,-2.570372553615918e-07,-1.7750848229997614e-07
5,convnext,69.9,1.6065980804562567,1.6081911747157571,-0.1424402743577957,-0.0007847651175688,0.5414063447132675,11.825725758075714,209568265,5.812397356760884e-06,-2.327348169752001e-07
5,convnext,76.3,1.165549857825041,1.1667669062316417,-0.0129401218146085,0.0036962758886511,0.4278191545364029,12.080311933755874,236932.4225,2.578449966438718e-06,1.4576397668817245e-07
5,convnext,80.2,1.7055829979777335,1.7072790832817557,0.0899583250284195,-0.0087813834333792,0.6166715480800824,11.616006474494936,174370.07,-4.57344150060073e-06,-5.8172782734597513e-08
5,resnet,27.7,1.272089870020747,1.2735005867481233,0.1588416844606399,0.0510529225911159,0.4855154740372488,12.009012622833252,231391.0125,4.891939611423353e-06,-2.3416695176044145e-07
5,resnet,44.1,1.5934843413978814,1.595054272711277,0.1986675709486007,0.0111893103664624,0.5588150949210281,11.875951492786408,223055.1225,3.1037684419445726e-06,7.675603331191794e-08
5,resnet,53.1,1.809727357327938,1.8115782506763936,-0.3575167059898376,0.0174582074746285,0.602758270428543,11.759555804729462,212563.4025,-2.961075849520672e-06,-7.747909054139687e-08
5,resnet,58.48,1.9388174417614936,1.9406428937613964,-0.0108495578169822,0.0241830939226201,0.6177444227542594,11.726021258831024,215535.0625,-8.270304957851324e-06,1.3911280776482189e-07
5,resnet,63.9,1.8976492984443905,1.8995681710541248,0.0466485619544982,0.0276130990491947,0.6147356614020201,11.734633996486664,214957.57,-4.260153383892913e-06,1.036662560022802e-07
5,resnet,66.0,2.0338701626062394,2.0358176404237747,-0.0272325128316879,0.0074990266669192,0.6397743937740275,11.65911898612976,208469.1825,-6.453048342906016e-06,-1.8603328800198732e-08
5,resnet,69.0,2.046021504059434,2.048141732737422,-0.1177078187465667,0.0066382269925088,0.63831719055766,11.659700727462768,209241.2325,3.4597793558196595e-06,-2.33428187295098e-07
5,resnet,73.2,2.2263342448771,2.2284884475171567,0.0226607322692871,0.0287547744782932,0.6704450840532351,11.56387478351593,199951.1875,3.340482970586801e-07,7.869266112830077e-08
